recording_id,source_url,source_title,duration_seconds,subtitles,region,recording_type,audio_quality,status,notes
REC050,https://www.youtube.com/watch?v=72CKbTpwrh0,Thavrat ino Mohamed Andaloussi 25/05/2014,7322,no,hocima,Podcast,Good,accepted,
REC051,https://www.youtube.com/watch?v=57-3DTbOVyg,(RIF) Podcast met CD&V Ali El Moussaoui,1872,no,hocima,Podcast,Good,accepted,
REC052,https://www.youtube.com/watch?v=XgB43zH3kw0&t=35s,(RIF) in gesprek met Abdeslam El Ghamri van GROEN,1962,no,hocima,Podcast,Good,accepted,
REC053,https://www.youtube.com/watch?v=ZcgkzK-Oyik,Leer 10 Riffijnse woorden (episode 3),87,no,hocima,Educational video,Good,accepted,
REC054,https://www.youtube.com/watch?v=hElhmn3H9EI,Robotagent in Californië (NL ondertiteling),59,no,hocima,News,Good,accepted,
REC055,https://www.youtube.com/watch?v=HsY5wIejWAM,10 hoogste gebouwen ter wereld,192,no,hocima,Educational video,Good,accepted,
REC056,https://www.youtube.com/watch?v=PCy05q8Ef1o,Leer 10 Riffijnse woorden (episode 2),86,yes - in english,hocima,Educational video,Good,accepted,
REC057,https://www.youtube.com/watch?v=Zo_dwOk5ZQk,Apprendre 10 mots en Tarifit,80,yes - in english,hocima,Educational video,Good,accepted,
REC058,https://www.youtube.com/watch?v=MDcu6ZUVQ3A,Iron Dome (Riffijns gesproken en NL ondertiteling),173,no,hocima,News,Medium,accepted,
REC059,https://www.youtube.com/watch?v=OP5h-lH9s8k,Riffijns nieuws 9 oktober 2020,636,no,hocima,News,Good,accepted,
REC060,https://www.youtube.com/watch?v=KGOAoGAcK1Q,,628,no,Nador,Interview,Medium,accepted,
REC061,https://www.youtube.com/watch?v=EAlyVvBMcy8,Hassan Benhakia issawal aked Omar Boumezzough x izřan n Arrif d wawař d tira (2/3),277,no,Nador,Interview,Medium,accepted,
REC062,https://www.youtube.com/watch?v=GrZJNHkW-oA,Muɣamara di tegzirt n iksan n waman Tarifit tekst en audio,2452,no,Neutral,Story telling,Good,Unavailable,
REC063,https://www.youtube.com/watch?v=6ZI2MIAthR4,Chacha issawař aked Ali Amazigh x tudart nnes aked iḥenjirn nnes břa tamɣart di 2010,1063,no,Nador,Podcast,Medium,accepted,Mixed tarifit dialects
REC064,https://www.youtube.com/watch?v=Fmh08S_iMFc,Mimoun Refroua issawal x izran nnes aked Mohamed Boutakhrit,529,no,Nador,Interview,Good,accepted,
REC065,https://www.youtube.com/watch?v=a1l_YrnVPZg,Chacha issawař aked Abdelghafour Ahalli x 'lɛalmaniyya d l'islam' s over Islam en secularisme,771,no,hocima,Podcast - social,Medium,accepted,A lot of background noise
REC066,https://www.youtube.com/watch?v=VRmdgvRINgI,Chacha issawal aked Fouad El Hajji di 27 10 10 x ssiyyasa d lintixabat di Hulanda di 2010!,734,no,hocima,Podcast - social,Good,accepted,
REC067,https://www.youtube.com/watch?v=RTym4SjE3GA,07 11 10 Chacha issawasř aked Abttoy,813,no,hocima,Interview,Medium,accepted,Mixed tarifit dialects + background noise
REC068,https://www.youtube.com/watch?v=Tx7Sd8YZtbE,Prof. dr. Yamina El Kirat tessawař xef tmaziɣt di lmedrasa di lmeɣrib 2/3,224,no,Neutral,Interview,Medium,Needs review,
REC069,https://www.youtube.com/watch?v=4eTobxN6bLQ,Prof. dr. Yamina El Kirat tessawař xef tmaziɣt di lmedrasa di lmeɣrib 3/3,559,no,Neutral,Interview,Medium,Needs review,
REC070,https://www.youtube.com/watch?v=BX6WTknSBKY&t=1s,Chacha issawař aked Lhadi Morchid x umsawaḍ jar imazighen d timazighin di 13-11-10,649,no,hocima,Podcast - social,Medium,accepted,Mixed tarifit dialects + background noise+ some arabic words
REC071,https://www.youtube.com/watch?v=lZbTADY_2q0,Boussedra issawař aked Abttoy di 2010 s tmaziɣt x ubrid i dd ikka ař ami idweř ittṣewwar,890,no,hocima,Podcast,Good,accepted,
REC072,https://www.youtube.com/watch?v=Ynk0O2cpZJk,Hamid Boussedra:awař x tcamma niɣ balun aked Abdelnasar di 2010 - 1/2,1060,no,hocima,Podcast,Good,accepted,
REC073,https://www.youtube.com/watch?v=_xn_PX3w2Io,Chacha issawal aked Mohamed Nadrani di 6-11-2010,1004,no,hocima,Interview,Medium,Needs review,Background noise
REC074,https://www.youtube.com/watch?v=4ddfzIVBXK8,26 07 2008 Amasawal ag tamesmunt n twiza (Tanger) issewjaden festival wis 4 - Festival Twiza,717,no,hocima,Podcast,Medium,accepted,
REC075,https://www.youtube.com/watch?v=xbI3Vxuycnk,taddart casa tamazight tarzem di barcelona - opening casa Amazigh in Barcelona in 2010,168,no,hocima,News,Medium,Unavailable,Some background noise + mixed dialects
REC076,https://www.youtube.com/watch?v=kQe3jl2uH5Y,Samira Bouddount d Fadma Bouchataoui: ssawařṭent x mudewwanat l'usra aked Najat-familierecht Tarifit,1073,no,hocima,Podcast,Medium,accepted,Low volume
REC077,https://www.youtube.com/watch?v=igt8WoU9Pwg,13 07 2009 mudawana deel 3,1439,no,hocima,Podcast,Medium,accepted,Low volume
REC078,https://www.youtube.com/watch?v=aWXMi3t0hLg,12 06 2009 mudawana Samira Bouddount d Fadma Bouchataoui x mudewwanat l'usra familierecht Tarifit 1,1208,no,hocima,Podcast,Medium,accepted,
REC079,https://www.youtube.com/watch?v=fMu6rR2xMVE,Mohamed Nadrani idweř ittṣewwar di řeḥbes- Nadrani vertelt hoe hij tekenaar werd in de gevangenis,334,no,Neutral,Interview,Medium,accepted,
REC080,https://www.youtube.com/watch?v=O7_xu4Vtix8,corona s tmaziɣt Tarifit أطباء يشرحون بالريفية\الأمازيغية ماهي كورونا وكيفية الوقاية منها3,951,no,hocima,Informational,Good,accepted,
REC081,https://www.youtube.com/watch?v=FFKGa2e8Cqc," Interview Jamal Hamid 2 حوار مع الفنان جمال حميد awař aked Jamal Hamid x tudart nnes, musiqa/lmesreḥ ",1852,no,hocima,Podcast,Good,accepted,
REC082,https://www.youtube.com/watch?v=nD5HJVorYF4,ameřqi aked Jamal Hamid (1) لقاء بالأمازغية الريفية مع الفنان جمال حميد حول مسيرته الفنية,1463,no,hocima,Podcast,Good,accepted,Mixed tarifit dialects
REC083,https://www.youtube.com/watch?v=a_QIPrXs5Ss,الحلقة الثامنة من برنامج تاريخ الريف,2589,no,hocima,Podcast,Good,accepted,
REC084,https://www.youtube.com/watch?v=8h7Q9lGWouo,Moslims in Europa afl.7 in Tarifit الحلقة السابعة من برنامج 'المسلمون في أوروبا'، مع حليم المذكوري,4217,no,hocima,Podcast,Medium,accepted,
REC085,https://www.youtube.com/watch?v=CxULq7MssPs,Column Baghdad Mesbahe: Ya arebbi ad tarnid deg icekkamen nneɣ,240,no,Neutral,Story telling,Good,Needs review,
REC086,https://www.youtube.com/watch?v=687L_cWK-mI,Interview met Mohamed Benzakour استجواب بالريفية مع الكاتب الهولندي من أصول مغربية,606,no,Neutral,Interview,Good,accepted,
REC087,https://www.youtube.com/watch?v=QtlujomL-a0,تاريخ الريف - الحلقة الثامنة - Histoire du Rif- Ep. 8,3188,no,Neutral,Podcast,Good,accepted,
REC088,https://www.youtube.com/watch?v=jfj_DfITg3g&t=9s,- Aflv. 6 Geschiedenis van de Rif -- الحلقة 6 من تاريخ الريف- بالريفية,1650,no,Neutral,Podcast,Good,accepted,
REC089,https://www.youtube.com/watch?v=faz5gLptJew,Interview met Mohamed over de hoofddoek in Islam,1728,no,hocima,Podcast,Medium,accepted,low volume audio
REC090,https://www.youtube.com/watch?v=owezSpxsmj0,Tussen Hshouma & Sabr | Aflevering 1 Meriem | Huiselijk geweld,2970,no,Neutral,Podcast,Good,accepted,dutch intro
REC091,https://www.instagram.com/p/DWuIEuqIJk6/,novels of a rifian writer,162,no,hocima,Review,Good,accpeted,
REC092,https://www.instagram.com/p/DWuIEuqIJk6/,10 books about rif,179,no,hocima,Review,Good,accpeted,
REC093,https://www.instagram.com/p/DZ0ZPaZo8bm/,book review - bawabat el-mad el ali,97,no,hocima,Review,Good,accpeted,
REC094,https://tarifit.info/en/audio,RIF_MAT_01,234,yes,Neutral,read religious speech,Good,accpeted,
REC095,https://tarifit.info/en/audio,RIF_MAT_02,293,yes,Neutral,read religious speech,Good,accpeted,
REC096,https://tarifit.info/en/audio,RIF_MAT_03,199,yes,Neutral,read religious speech,Good,accpeted,
REC097,https://tarifit.info/en/audio,RIF_MAT_04,285,yes,Neutral,read religious speech,Good,accpeted,
REC098,https://tarifit.info/en/audio,RIF_MAT_05,559,yes,Neutral,read religious speech,Good,accpeted,
REC099,https://tarifit.info/en/audio,RIF_MAT_06,395,yes,Neutral,read religious speech,Good,accpeted,
REC100,https://tarifit.info/en/audio,RIF_MAT_07,311,yes,Neutral,read religious speech,Good,accpeted,
REC101,https://tarifit.info/en/audio,RIF_MAT_08,361,yes,Neutral,read religious speech,Good,accpeted,
REC102,https://tarifit.info/en/audio,RIF_MAT_09,382,yes,Neutral,read religious speech,Good,accpeted,
REC103,https://tarifit.info/en/audio,RIF_MAT_10,430,yes,Neutral,read religious speech,Good,accpeted,
REC104,https://tarifit.info/en/audio,RIF_MAT_11,326,yes,Neutral,read religious speech,Good,accpeted,
REC105,https://tarifit.info/en/audio,RIF_MAT_12,567,yes,Neutral,read religious speech,Good,accpeted,
REC106,https://tarifit.info/en/audio,RIF_MAT_13,652,yes,Neutral,read religious speech,Good,accpeted,
REC107,https://tarifit.info/en/audio,RIF_MAT_14,336,yes,Neutral,read religious speech,Good,accpeted,
REC108,https://tarifit.info/en/audio,RIF_MAT_15,382,yes,Neutral,read religious speech,Good,accpeted,
REC109,https://tarifit.info/en/audio,RIF_MAT_16,319,yes,Neutral,read religious speech,Good,accpeted,
REC110,https://tarifit.info/en/audio,RIF_MAT_17,319,yes,Neutral,read religious speech,Good,accpeted,
REC111,https://tarifit.info/en/audio,RIF_MAT_18,409,yes,Neutral,read religious speech,Good,accpeted,
REC112,https://tarifit.info/en/audio,RIF_MAT_19,355,yes,Neutral,read religious speech,Good,accpeted,
REC113,https://tarifit.info/en/audio,RIF_MAT_20,389,yes,Neutral,read religious speech,Good,accpeted,
REC114,https://tarifit.info/en/audio,RIF_MAT_21,520,yes,Neutral,read religious speech,Good,accpeted,
REC115,https://tarifit.info/en/audio,RIF_MAT_22,404,yes,Neutral,read religious speech,Good,accpeted,
REC116,https://tarifit.info/en/audio,RIF_MAT_23,441,yes,Neutral,read religious speech,Good,accpeted,
REC117,https://tarifit.info/en/audio,RIF_MAT_24,451,yes,Neutral,read religious speech,Good,accpeted,
REC118,https://tarifit.info/en/audio,RIF_MAT_25,445,yes,Neutral,read religious speech,Good,accpeted,
REC119,https://tarifit.info/en/audio,RIF_MAT_26,772,yes,Neutral,read religious speech,Good,accpeted,
REC120,https://tarifit.info/en/audio,RIF_MAT_27,646,yes,Neutral,read religious speech,Good,accpeted,
REC121,https://tarifit.info/en/audio,RIF_MAT_28,220,yes,Neutral,read religious speech,Good,accpeted,
REC122,https://tarifit.info/en/audio,RIF_MRK_01,439,yes,Neutral,read religious speech,Good,accpeted,
REC123,https://tarifit.info/en/audio,RIF_MRK_02,273,yes,Neutral,read religious speech,Good,accpeted,
REC124,https://tarifit.info/en/audio,RIF_MRK_03,330,yes,Neutral,read religious speech,Good,accpeted,
REC125,https://tarifit.info/en/audio,RIF_MRK_04,442,yes,Neutral,read religious speech,Good,accpeted,
REC126,https://tarifit.info/en/audio,RIF_MRK_05,394,yes,Neutral,read religious speech,Good,accpeted,
REC127,https://tarifit.info/en/audio,RIF_MRK_06,608,yes,Neutral,read religious speech,Good,accpeted,
REC128,https://tarifit.info/en/audio,RIF_MRK_07,375,yes,Neutral,read religious speech,Good,accpeted,
REC129,https://tarifit.info/en/audio,RIF_MRK_08,358,yes,Neutral,read religious speech,Good,accpeted,
REC130,https://tarifit.info/en/audio,RIF_MRK_09,483,yes,Neutral,read religious speech,Good,accpeted,
REC131,https://tarifit.info/en/audio,RIF_MRK_10,506,yes,Neutral,read religious speech,Good,accpeted,
REC132,https://tarifit.info/en/audio,RIF_MRK_11,333,yes,Neutral,read religious speech,Good,accpeted,
REC133,https://tarifit.info/en/audio,RIF_MRK_12,489,yes,Neutral,read religious speech,Good,accpeted,
REC134,https://tarifit.info/en/audio,RIF_MRK_13,345,yes,Neutral,read religious speech,Good,accpeted,
REC135,https://tarifit.info/en/audio,RIF_MRK_14,753,yes,Neutral,read religious speech,Good,accpeted,
REC136,https://tarifit.info/en/audio,RIF_MRK_15,458,yes,Neutral,read religious speech,Good,accpeted,
REC137,https://tarifit.info/en/audio,RIF_MRK_16,228,yes,Neutral,read religious speech,Good,accpeted,
