segment_id,recording_id,speaker_group_id,dataset_split,duration_seconds,audio_path,review_status,transcription,final_selection
REC010_SEG0027,REC010,SPK001,train,5.36,data/processed/segments/REC010/REC010_SEG0027.wav,included,atafeḍ iwḍan ɛad tessnen ayawya ɛad tessnen ayawya ɛad temsemeraken,yes
REC010_SEG0028,REC010,SPK001,train,10.992,data/processed/segments/REC010/REC010_SEG0028.wav,included,safi muru uṭeniriḍi ura ḍ ijj temɣurn ḥetta ategged amya atafeḍ dca imɣa axas ugan ɛaweḍ ijjen rebɛad n familyaṭ familyaṭ nneɣni teggen ɛaweḍ dca nsen waḥeḍsen,yes
REC010_SEG0029,REC010,SPK001,train,3.504,data/processed/segments/REC010/REC010_SEG0029.wav,included,uxa ammen amdji din attas n dcuraṭ,yes
REC010_SEG0030,REC010,SPK001,train,13.968,data/processed/segments/REC010/REC010_SEG0030.wav,included,ssnen ira teɛnan i wayawya ɣa cwitti waha uxa tekksen ak wayawya smunan dcuraṭ nni dcuraṭ nni mdji ɣa munen uxa teggen awar ḍ lqanun teggen mara,yes
REC010_SEG0031,REC010,SPK001,train,0.944,data/processed/segments/REC010/REC010_SEG0031.wav,included,aqbir,yes
REC010_SEG0032,REC010,SPK001,train,4.528,data/processed/segments/REC010/REC010_SEG0032.wav,included,imeqqan aqbir ssedj mliḥ s ṭmaziɣt aqbir zɛma qebren x wayawya,yes
REC010_SEG0033,REC010,SPK001,train,14.448,data/processed/segments/REC010/REC010_SEG0033.wav,included,min qebren zi wayawya qebren zi wayawya ad ɛeddan x iberiḍen wayawya aḍ ɛeddan x ḍmura n wayawya ur tenɛeddan ci x wayawya aḍ teggen tekksen ak wayawya mirmi ɣa ggen bursaṭ bursa neqqas necnin s ṭmaziɣt zeɛma essuq,yes
REC010_SEG0034,REC010,SPK001,train,12.144,data/processed/segments/REC010/REC010_SEG0034.wav,included,essuq ḍ bu nnaɛeft neccin neqaras bursa tekksen ak wayawya mermi ɣa ggen bursaṭ tekksen ak wayawya mux ɣa zenzen ṭammurt ni mux atmubeddaren ṭimmura ḍwenni umi qqaren aqbir,yes
REC010_SEG0035,REC010,SPK001,train,13.584,data/processed/segments/REC010/REC010_SEG0035.wav,included,mara munen attas n dcuraṭ mara s wawar ḍ rqanun waxxa amedji ɣa imɣar aqbir nni xa ḍin attas n iwḍan uxa yeɛda ijjen miqddar n iwḍan ataf iwḍan utessinen ci ataf uqqimen ci tesnen ayawya,yes
REC010_SEG0036,REC010,SPK001,train,3.312,data/processed/segments/REC010/REC010_SEG0036.wav,included,zi ssin agayta min ytuqeɛen imma,yes
REC011_SEG0001,REC011,SPK001,train,10.96,data/processed/segments/REC011/REC011_SEG0001.wav,included,waxxa ruxa qa anessiwer x ismawen n iqbiren i ɣaneɣ gi ṭmura nneɣ uṭen teggeɣ ci qqaɛ qqaɛ maca aḍ ggeɣ ṭenni ṭimeqqranin qqaɛ ṭenni inessen qqaɛ,yes
REC011_SEG0002,REC011,SPK001,train,10.864,data/processed/segments/REC011/REC011_SEG0002.wav,included,sinn iqbiren ikkuḥen imken axasen nsseɛḍa ciḥaja n wawar imken imken aɣasen nexza ciḥaja imken,yes
REC011_SEG0003,REC011,SPK001,train,10.52,data/processed/segments/REC011/REC011_SEG0003.wav,included,axasen dnawi caḥaja wawar waha maca ci nneɣni a nessiwer x iqbiren imeqqranen waxxa x iqbiren nni imeqqranen tiqebari nni nsen iksend aḍixer waxxa ḍ tinni,yes
REC011_SEG0004,REC011,SPK001,train,7.064,data/processed/segments/REC011/REC011_SEG0004.wav,included,uxissen nessiwer ci gi vidyu ya mizi ugḍeɣ aḍ ɛeḍreɣ attas di wawar waxxa,yes
REC011_SEG0005,REC011,SPK001,train,13.52,data/processed/segments/REC011/REC011_SEG0005.wav,included,aqbir ḍamezgaru minzi ɣa bḍiɣ ad bḍiɣ s ayṭwayaɣer ayṭwayaɣer qqaɛ snenṭen attas ɛizzen xasen ayṭwayaɣer ḍin rebɛaḍiṭ mellenṭen w iwa ɛad rux kur ijj,yes
REC011_SEG0006,REC011,SPK001,train,6.512,data/processed/segments/REC011/REC011_SEG0006.wav,included,maca ijjen n mesrayṭ ixessa a tessnem mara xzard a umezruy n iwḍan nneɣ atafeḍ,yes
REC011_SEG0007,REC011,SPK001,train,8.08,data/processed/segments/REC011/REC011_SEG0007.wav,included,qqaɛ iwḍan waxxa bnaḍem ḍaqerɛi niɣ ḍ ukebḍani ḍ uznasi mani ma is ḍ ikka atafeḍ lassel nsen,yes
REC011_SEG0008,REC011,SPK001,train,9.0,data/processed/segments/REC011/REC011_SEG0008.wav,included,zi ayṭwayaɣer qqaɛ ṭiqebbarin nneɣni kkind zi ayṭwayaɣer ayṭwayaɣer i idja ṭaqbic ṭamezgarut,yes
REC011_SEG0009,REC011,SPK001,train,9.832,data/processed/segments/REC011/REC011_SEG0009.wav,included,i dyuṭfen gi ṭammurt mani ntiri qqaɛ iɛni cek mara ṭufiḍ ixfinek ḍ uṭemsaman yih aqbir inek ḍ uṭemsaman maca mara ṭɛeqbeḍ,yes
REC011_SEG0010,REC011,SPK001,train,12.496,data/processed/segments/REC011/REC011_SEG0010.wav,included,a ṭmezaruut qqaɛ atafed ḍawayaɣer rad cek ayṭ tuzin amenniɣni ayṭsɛiḍ igzennayen imeḍarsen ayṭbu qqaɛ qqaɛ ṭiqebbarin nni kind zi ayṭwayaɣer,yes
REC011_SEG0011,REC011,SPK001,train,11.696,data/processed/segments/REC011/REC011_SEG0011.wav,included,maca wami ṭeɛḍa rweqṭ amux ḍakum nniɣ xumezgaru zi ɣa temɣa aqbir uxa tekkent zeggs ṭiqebbarin uxa ṭiqebbarin nni teggen iqbiren nni w ixfensen,yes
REC011_SEG0012,REC011,SPK001,train,9.096,data/processed/segments/REC011/REC011_SEG0012.wav,included,xa zi ssin ydekkin ṭiqebarin nneɣni n ṭemsaman ayṭuwzin imeḍarsen maca qa amenni ytaḥ,yes
REC011_SEG0013,REC011,SPK001,train,13.416,data/processed/segments/REC011/REC011_SEG0013.wav,included,waxxa ṭebḍa zi ayṭwayeɣer rux rad iwḍan nneɣni gin aqbir nsen gin rqanun nsen ggin awar nsen uxa ammen waxxa neccin qa nbḍa s ayṭwayaɣer waxxa ijjen ṭeqqaḍas,yes
REC012_SEG0002,REC012,SPK001,train,14.0,data/processed/segments/REC012/REC012_SEG0002.wav,included,ḍa gin beɛda teswaṭ n irumyen ɣasen izakuken ḍibarkanen ḍicemraren ɣasen iɛecman ḍibarkanen ṭimɣarin nsen teḍhan amux djan gi ṭmura n irumyen,yes
REC012_SEG0003,REC012,SPK001,train,6.896,data/processed/segments/REC012/REC012_SEG0003.wav,included,qa raḍ wa ḍ teswaṭ n filem aqa beɛda ginas yteḍha beɛda am irumyen nican,yes
REC012_SEG0004,REC012,SPK001,train,11.888,data/processed/segments/REC012/REC012_SEG0004.wav,included,aqa raḍ wa ijjen filem ginṭ yellah mux teggin cin imken nayen iseggʷasen ma ḍ traṭa iseggʷasen zi ggʷami i ṭeggin xa wami cceḍkan attas n iwḍan,yes
REC012_SEG0005,REC012,SPK001,train,6.84,data/processed/segments/REC012/REC012_SEG0005.wav,included,espunya ifransisen iwḍan n purtugal ituakiyen iwḍan am necc cceḍkan,yes
REC012_SEG0006,REC012,SPK001,train,13.784,data/processed/segments/REC012/REC012_SEG0006.wav,included,xa wwinasend mumetṭil beɛda qa ytawid ggurumi nican udwin ci alimani ɣas azakuk ḍ azzuggʷɣ ḍarrubiyu ḍasemmam,yes
REC012_SEG0007,REC012,SPK001,train,4.592,data/processed/segments/REC012/REC012_SEG0007.wav,included,rux anessiwer x ilimanyen ḥma atessned immi qqrn ilimanyen,yes
REC012_SEG0008,REC012,SPK001,train,12.464,data/processed/segments/REC012/REC012_SEG0008.wav,included,ilimanyen niṭni deɣya an tɛeqreḍ ɣasen azakuk ḍ arrubiyu niɣ ḍrus idssen atafeḍ ɣasen azakuk ḍ acehba niɣ ḍazeggʷaɣ,yes
REC012_SEG0009,REC012,SPK001,train,6.256,data/processed/segments/REC012/REC012_SEG0009.wav,included,mara ḍawṭem qaḍas alimani mara tawṭent qadas ttalimaniṭ attas,yes
REC012_SEG0010,REC012,SPK001,train,5.2,data/processed/segments/REC012/REC012_SEG0010.wav,included,attas ilimanyen niɣ tilimanyen rux min teɛnan iwḍana may tirin,yes
REC012_SEG0011,REC012,SPK001,train,2.256,data/processed/segments/REC012/REC012_SEG0011.wav,included,eḥqa,yes
REC012_SEG0012,REC012,SPK001,train,14.096,data/processed/segments/REC012/REC012_SEG0012.wav,included,ilimanyan rad niṭnin ɣasen ismawen attas ilimanyen udji ci nesniṭen s ilimanyen waha raḍ niṭni qqanasan ijarmiqen niɣ ijarmanen jermanik niɣ,yes
REC012_SEG0013,REC012,SPK001,train,1.072,data/processed/segments/REC012/REC012_SEG0013.wav,included,xer manen,yes
REC012_SEG0014,REC012,SPK001,train,10.192,data/processed/segments/REC012/REC012_SEG0014.wav,included,ilimanyen ijarmiqen nniɣ ijarmanen ḍazzud ad t itaɛzuḍ s gellinzit x tefhameḍ i ḍ gellinzit ixessa ad tazuḍ x djurmanik pipel,yes
REC012_SEG0015,REC012,SPK001,train,7.056,data/processed/segments/REC012/REC012_SEG0015.wav,included,ḍ yinni imi qqan ilimanyen attas n iwḍan nneɣ qanas yinni yinni ḍi rumyen maca udji bu nican,yes
REC012_SEG0016,REC012,SPK001,train,10.128,data/processed/segments/REC012/REC012_SEG0016.wav,included,waxxa ilimanyin i gi tirin nux ḍ arbeɛa iglinziyen idanmarkiyen ihulandiyen ḍ iduytciyen,yes
REC012_SEG0017,REC012,SPK001,train,10.992,data/processed/segments/REC012/REC012_SEG0017.wav,included,as ḍ ɛawḍaɣ iglinziyen idanmarkiyen ihulandiyen ḍ iduytciyen mara ṭufiḍ iwḍan kkind ssa ḍ yinni immi qqan ilimanyen,yes
REC012_SEG0018,REC012,SPK001,train,7.152,data/processed/segments/REC012/REC012_SEG0018.wav,included,ilimanyen ḍinni iwḍan andafeḍ ɣasenazakuk ḍarubyu niɣ ḍazggʷaɣ niṭni udjibu ḍilimanyen,yes
REC012_SEG0019,REC012,SPK001,train,5.2,data/processed/segments/REC012/REC012_SEG0019.wav,included,a maca ɛakzeɣ iruxen ḍirumiyyen zi ttaf lla ixessa utirid ci daɣyur,yes
REC012_SEG0020,REC012,SPK001,train,3.952,data/processed/segments/REC012/REC012_SEG0020.wav,included,ixessa utiriḍci ḍ emmis n reḥḥam ina qqanasen ilimanyen,yes
REC012_SEG0021,REC012,SPK001,train,6.664,data/processed/segments/REC012/REC012_SEG0021.wav,included,aqa zzi ceḍkan iwḍan badan tegen teswaṭ n imezgura nsen mmuc nneɣni,yes
REC012_SEG0022,REC012,SPK001,train,14.304,data/processed/segments/REC012/REC012_SEG0022.wav,included,aqa rux beɛda ḍhan teswaṭ n imezgura nsen uqqimen ci teggen teswaṭ mig ɣaḍafeḍ ijjen dḍalimani ɣas aqeyyuɛ ḍalimani teggenṭ gi reɣḍa urumi uqqimen ci tegen manayenni,yes
REC012_SEG0023,REC012,SPK001,train,3.208,data/processed/segments/REC012/REC012_SEG0023.wav,included,minzi qa arinasen rexba s internet arinasen ṭayniṭ rux,yes
REC012_SEG0024,REC012,SPK001,train,13.256,data/processed/segments/REC012/REC012_SEG0024.wav,included,uqqimen ci teggen manayenni aqa rux teggen tsawa n ixefensen n imezgura nsen mux ḍakum nniɣ udji ci madji ɣa ṭafeḍ ci ijjen ɣas azakuk ḍ arubyu ḍazeggʷaɣ xa safiasṭinim ḍalimani lla,yes
REC012_SEG0025,REC012,SPK001,train,5.736,data/processed/segments/REC012/REC012_SEG0025.wav,included,mara ṭufitten zi skutlanda niɣ zi ayrlanda yenni qqarenasen iḍaliqen niɣ iqaletiyen,yes
REC012_SEG0026,REC012,SPK001,train,9.872,data/processed/segments/REC012/REC012_SEG0026.wav,included,galek niɣ kkaltek mara ṭessned taglenziṭ yenni waxxa ɣasen azakuk ḍ arrubyu niɣ ḍazeggʷaɣ,yes
REC012_SEG0027,REC012,SPK001,train,10.896,data/processed/segments/REC012/REC012_SEG0027.wav,included,u tweḥsiben ci zi ilimanyen mizi raḍ niṭni ɣasen iqbiren nsen waḥeḍsen ɣasen awar nsen weḥeḍsen ɣasn kwila nsen weḥeḍsen kwila qqant i ṭṭaqafa,yes
REC012_SEG0028,REC012,SPK001,train,1.232,data/processed/segments/REC012/REC012_SEG0028.wav,included,ḥma tessneḍ,yes
REC012_SEG0029,REC012,SPK001,train,9.328,data/processed/segments/REC012/REC012_SEG0029.wav,included,ḥma tessned ixessa uttɛgizeḍ ci gi ismawen ixessa ad tiniḍ ismawen nican mizi bnaḍem mara ussin ci ixefines u issin ci iwḍan abarra ytxawed waha,yes
REC012_SEG0030,REC012,SPK001,train,14.808,data/processed/segments/REC012/REC012_SEG0030.wav,included,waxxa rux mix tidwwiɣ amya ira ira wmi ḍ ɣa wamira tariɣd ira tesriɣ ijjen izr ira tesriɣ izran lmuziqa n inaṭ n mimun refruɛ ma ussineɣ menwen ira qqarack min ezriɣ,yes
REC012_SEG0031,REC012,SPK001,train,7.832,data/processed/segments/REC012/REC012_SEG0031.wav,included,ayemma gi ḍmurṭ n irumyen uxa qqaɣas miṭ yuɣen wa uyeɣri ci iwa iḍha ira uyɣri ci,yes
REC012_SEG0032,REC012,SPK001,train,11.568,data/processed/segments/REC012/REC012_SEG0032.wav,included,netta mara yezzu adyawi netta rux mara yezzu adyawe muziqa nnes nican izran nican ixessa ataf inna min ezariɣ a yemma gi ḍmurṭ n ilimanyen,yes
REC013_SEG0001,REC013,SPK001,train,1.808,data/processed/segments/REC013/REC013_SEG0001.wav,included,waxxa am,yes
REC013_SEG0002,REC013,SPK001,train,13.424,data/processed/segments/REC013/REC013_SEG0002.wav,included,wami ammen min ɣaneg z gg wawar ḍ tamazɣa attas n iwḍan amedji ɣa ssiwereɣ ṭmaziɣt niɣ azzuɣ aḍ ssiwreɣ x umezruy itekkayd zdaṭ itekkayd tsemma iteggay jnun iqqarak issawar x tamazɣa,yes
REC013_SEG0003,REC013,SPK001,train,7.76,data/processed/segments/REC013/REC013_SEG0003.wav,included,necc tamazɣa ukis teggeɣ smunan zi ttaf mizi necc ssneɣ ma yestekka manis ḍ ikka manayenni ssneɣ ṭubuhella mayes ḍ ikka xa,yes
REC013_SEG0004,REC013,SPK001,train,13.584,data/processed/segments/REC013/REC013_SEG0004.wav,included,manayenni uɣas tmeyareɣ ci manayenni ukis teggeɣ ci essneɣ ira ḍ ixawiḍen waha akum iniɣ maɣa tamazɣa ya mara medji ɣa ṭexzad atafeḍ bandiraṭ tekksenṭan meri ufin bandiraṭ nni unṭntwirin maca manaya qebbrenṭ,yes
REC013_SEG0005,REC013,SPK001,train,4.4,data/processed/segments/REC013/REC013_SEG0005.wav,included,mayemma ṭazuḍ internet atafedd iteḍhad manaya i mizi qebbren manaya u qebbren bu bandiraṭ,yes
REC013_SEG0006,REC013,SPK001,train,11.664,data/processed/segments/REC013/REC013_SEG0006.wav,included,akum iniɣ mays dikka manaya yekkad zi rweqt n ifaṭimiyyen amedji ɣa ṭexzaḍ ɣa umezruy atafeḍ,yes
REC013_SEG0007,REC013,SPK001,train,12.752,data/processed/segments/REC013/REC013_SEG0007.wav,included,g rweqt n ifaṭimiyyen atafeḍ ḍ wenni ḍ rweqt mig ufin imenɛaq isenhajen tsemma imtarcen n sseḥra iwḍan n sseḥra g rweqt nni ufin ṭaksaṭ x iwḍan qqaɛ,yes
REC013_SEG0008,REC013,SPK001,train,3.344,data/processed/segments/REC013/REC013_SEG0008.wav,included,illa x dmurṭ n spanya ḍ ṭṭamurṭ nneɣ,yes
REC013_SEG0009,REC013,SPK001,train,12.008,data/processed/segments/REC013/REC013_SEG0009.wav,included,maca x iwḍan nneɣni neṭnin rufin xesen ṭaksaṭ neṭnin ira ddin uṭqebren neṭnin ddin qebrenṭ ɣa s mi min tɣiren neṭnin,yes
REC013_SEG0010,REC013,SPK001,train,5.32,data/processed/segments/REC013/REC013_SEG0010.wav,included,neṭnin ira takan ṭimura neṭnin ira takan reḥwayej,yes
REC013_SEG0011,REC013,SPK001,train,9.016,data/processed/segments/REC013/REC013_SEG0011.wav,included,muhim amedji ɣa texsaḍ gi idrisen xa ṭazuḍ x fatimiyyen atafeḍ ḍ wenni immi qqan elfitna ṭameqrant n isenhajen,yes
REC013_SEG0012,REC013,SPK001,train,12.176,data/processed/segments/REC013/REC013_SEG0012.wav,included,tsema iwḍan n sseḥra min gin iwḍan qqaɛ udji ci zeɛma emsermen waha lla iwḍan zi ṭṭaf ɣa wenni mig ɣafen ṭaksaṭ tijjanṭ llah iḥefḍ gi,yes
REC013_SEG0013,REC013,SPK001,train,6.856,data/processed/segments/REC013/REC013_SEG0013.wav,included,gi reɣben qedjɛen xes tarin ḍarwina u ɛaweḍ niṭni ira ɣasen kif kif niṭni amedji ɣa ḥaṭen,yes
REC013_SEG0014,REC013,SPK001,train,12.976,data/processed/segments/REC013/REC013_SEG0014.wav,included,xa bnaḍem tɛanenass muhim kulci ḥta ak iniɣ cu wawar daɛffan niṭni ira ṭeɛyan gi iwḍan zi ṭṭaf ufin aḥenja ɛanenas ufina agaz ɛanenas ufin ṭamɣaṭ ɛanenas teggen ira gi rweqt nni ira teggen timesrayen tiɛeffanin,yes
REC013_SEG0015,REC013,SPK001,train,11.664,data/processed/segments/REC013/REC013_SEG0015.wav,included,xa waxxa ḍimenɛuq neṭnin ira ggin ijjen tandint qahira xa zi qahira neṭnin ira teggen ṭimesrayin idji iɣa n iggen qqaɛ,yes
REC013_SEG0016,REC013,SPK001,train,3.176,data/processed/segments/REC013/REC013_SEG0016.wav,included,imenɛaq neṭnin ira ḍ isenhajen,yes
REC034_SEG0001,REC034,SPK002,train,2.608,data/processed/segments/REC034/REC034_SEG0001.wav,included,azul ayṭma suyṭma ssitimeɣ atirim mliḥ,yes
REC034_SEG0002,REC034,SPK002,train,12.688,data/processed/segments/REC034/REC034_SEG0002.wav,included,akiḍwum umaṭum ayub nhara teḥabeɣd zahwum ḍ gijjen n texrasṭ zi ṭxrazin n lpudkast nneɣ ḍaɣimit amux ḍ zrim gi fidyuya nessiwur x rweqṭ emmi ig ṭtaw qqaɛ ac tuya,yes
REC034_SEG0003,REC034,SPK002,train,7.28,data/processed/segments/REC034/REC034_SEG0003.wav,included,qber ima nebḍa ṭaxrasta awim ḍ akiḍ kum rkas watay enkum niɣ rkas n rqahwa ḥma ṭiri ḍaɣimita,yes
REC034_SEG0004,REC034,SPK002,train,8.72,data/processed/segments/REC034/REC034_SEG0004.wav,included,tmizḍigṭ tasebḥant gi ṭaxrazta azzayek talbeɣ ad taris piriḍ mliḥ ad deqqened ṭitawin inek ecway,yes
REC034_SEG0005,REC034,SPK002,train,7.248,data/processed/segments/REC034/REC034_SEG0005.wav,included,mara ṭexsed txiyel iixfinek ira ṭettfeḍ rweqṭ s ifassen inek am ijj n ufiru niɣ ijj n usɣun,yes
REC034_SEG0006,REC034,SPK002,train,11.184,data/processed/segments/REC034/REC034_SEG0006.wav,included,suɣumaɣ igga am ellastik itenejbaḍ mara ḍ jbeḍet bezzaf yḍegger dazegra mara ṭaxuḍas ydzeyya,yes
REC034_SEG0007,REC034,SPK002,train,10.672,data/processed/segments/REC034/REC034_SEG0007.wav,included,eḍ wa ḍ rweqṭ amyi igiga xelli rebɛad n n lɛulama lisyentifik qqanak rweqṭ maṭalan ijjen tminut daks sttin sugund,yes
REC034_SEG0008,REC034,SPK002,train,8.784,data/processed/segments/REC034/REC034_SEG0008.wav,included,sakand ijjen ssaɛat daksa ireqqasem ireqqasen nni ticenakd cḥa din n sigundu ḍ gikur minut cḥa din t minuṭin di kur ssaɛat,yes
REC034_SEG0009,REC034,SPK002,train,10.576,data/processed/segments/REC034/REC034_SEG0009.wav,included,zi cḥa din n swayeɛ gi kur nha maca gi lḥaqiqa rweqṭ udji bu ḍ manayenni rweqṭ ɣas ṭnayen iɣembab niɣ ṭnayenn ikemman akemmar amezgaru,yes
REC034_SEG0010,REC034,SPK002,train,12.208,data/processed/segments/REC034/REC034_SEG0010.wav,included,ɛaweḍ min ḍax eqqan lɛulama yina sayentist qanak qa rweqṭ ḍ ijjen n ṭmesrayṭ fiks qanas s frensis situn uniti ḍ muzuɣ maṭalan,yes
REC034_SEG0011,REC034,SPK002,train,12.144,data/processed/segments/REC034/REC034_SEG0011.wav,included,sigundu niɣ minut niɣ ḍsaɛet uḍ zzaman s ixefines niɣ ḍ rweqṭ s ixefines ydja yjɛal lasyuns niɣ lɛilem,yes
REC034_SEG0012,REC034,SPK002,train,8.144,data/processed/segments/REC034/REC034_SEG0012.wav,included,ad ttuwwer adt ifulya ad tuga ɣa zdaṭ maca necnin nesḥissa ira lweqṭ uɛeddici kif kif,yes
REC034_SEG0013,REC034,SPK002,train,12.912,data/processed/segments/REC034/REC034_SEG0013.wav,included,djan rbɛad n mumintuṭ ɛeddan ḍɣya rbɛad mumintuṭ ɛeddan cway cway umi n nzar kurma nwsa kurma n numɣa nesḥissa ira rweqṭ iɛedda ḍɣya iɛedda itazzer,yes
